Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,25.0735264,0.8705746,0.163094,41573442,962158
 w/ PP,25.0247765 ,0.8698489 ,0.1630282 ,20254537,962158
