Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,21.5572186,0.7916417,0.2396799,37294134,710434
 w/ PP,21.6193301 ,0.7916245 ,0.2401230 ,17521782,710434
