Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,24.7704182,0.7226102,0.2864661,62985469,2221689
 w/ PP,24.7274151,0.7224735,0.2844863,38315366,2221689
