Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,26.4638596,0.756788,0.2782411,54662269,1732089
 w/ PP,26.3067513,0.7535672,0.2796539,33831154 ,1732089
