Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,20.8930435,0.555903,0.3987166,51151922,1525598
 w/ PP,20.8905315,0.5539153,0.399207026,32049406 ,1525598
