Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,26.8082218,0.831819,0.1607804,62780109,2209609
 w/ PP,26.7240162,0.8310673,0.1582346,43256956 ,2209609
