Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,30.4778423,0.9193306,0.1312616,44446612,1131168
 w/ PP,30.4825935,0.9194022,0.1304301,24394343 ,1131168
