Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,30.8819199,0.9191906,0.2093959,34212068,529136
 w/ PP,30.8827095,0.9184549,0.2088341,15013116 ,529136
