Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,32.0812378,0.9386276,0.1926254,35434572,601048
 w/ PP,31.9813766,0.9368871,0.1932859,16398658 ,601048
