Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,28.7091751,0.9023723,0.2054972,34340180,536672
 w/ PP,28.6346874,0.9009139,0.2056362,15223889 ,536672
