Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,22.6450615,0.6377673,0.3627161,59326338,2006446
 w/ PP,22.671278,0.6367845,0.36341,39079209 ,2006446
