Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,26.1796284,0.9530293,0.0412945,6536455,178615
 w/ PP,26.0142574,0.9513033,0.0420193,3250117,178615
