Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,35.4798012,0.9812493,0.0181895,6421042,171826
 w/ PP,34.9605331,0.9791891,0.0195022,3183639,171826
