Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,29.9688034,0.9579973,0.0419459,5322196,107188
 w/ PP,29.0439186,0.9544277,0.0195022,2312623,107188
