Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,37.3823586,0.9839702,0.0225346,4591298,64194
 w/ PP,36.7135887,0.9826865,0.0234271,1664588,64194
