Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,35.8115273,0.9913212,0.0079311,4452255,56015
 w/ PP,35.5709839,0.9908366,0.0083826,1487552,56015
