Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,30.3238049,0.9021857,0.2581305,38448757,778353
 w/ PP,30.2980682 ,0.9004922 ,0.2593208 ,17492977,778353
