Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
 w/o PP,29.2641716,0.9000701,0.2578339,47979841,1339005
 w/ PP,29.1633472 ,0.8993502 ,0.2573153 ,25739989,1339005
